,Show,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun
0,FOX AND FRIENDS,766,809,884,841,720
1,FOX AND FRIENDS,1017,1111,1113,1139,1034
2,FOX AND FRIENDS,1200,1310,1315,1328,1195
3,AMERICAS NEWSROOM,1287,1301,1271,1308,1221
4,AMERICAS NEWSROOM,1301,1394,1317,1320,1258
5,"FAULKNER FOCUS, THE",1340,1452,1277,1340,1126
6,OUTNUMBERED,1332,1377,1428,1467,1329
7,AMERICA REPORTS,1193,1458,1280,1181,1055
8,AMERICA REPORTS,1026,1725,1218,1024,883
9,"STORY, THE",1092,1747,1153,1161,953
10,YOUR WORLD W/NEIL CAVUTO,1166,1734,1207,1159,970
11,"FIVE, THE",2755,2984,2682,2499,2299
12,SPECIAL RPT W/BRET BAIER,1869,2028,1832,1666,1593
13,JESSE WATTERS PRIMETIME,2320,2454,2108,2039,1772
14,FOX NEWS TONIGHT,1800,2413,1586,1625,1487
15,HANNITY,1968,2867,2087,1941,1574
16,"INGRAHAM ANGLE, THE",1676,1979,1707,1742,1239
17,GUTFELD!,1480,1607,1773,1707,1567
