Show,Value
"""The Five"" : June 13",2984
"""Hannity"" : June 13",2867
"""The Five"" : June 19",2786
"""The Five"" : June 7",2765
"""The Five"" : June 12",2755
"""The Five"" : June 26",2746
"""The Five"" : June 22",2718
"""The Five"" : June 21",2712
"""The Five"" : June 20",2703
"""The Five"" : June 14",2682
"""The Five"" : June 5",2645
"""The Five"" : June 27",2629
"""Special Report w/ Bret Baier"" : June 19",2600
"""The Five"" : June 8",2588
"""The Five"" : June 9",2579
"""The Five"" : June 28",2569
"""The Five"" : June 23",2540
"""The Five"" : June 15",2499
"""The Five"" : June 6",2479
"""Jesse Watters Primetime"" : June 13",2454
